Time,Sentiment
02/01/2021 13:00,1
02/01/2021 13:05,1
02/01/2021 13:10,1
02/01/2021 13:15,1
02/01/2021 13:20,-1
02/01/2021 13:25,1
02/01/2021 13:31,1
02/01/2021 13:36,0
02/01/2021 13:41,1
02/01/2021 13:46,1
02/01/2021 13:51,1
02/01/2021 13:56,1
02/01/2021 14:01,1
02/01/2021 14:06,1
02/01/2021 14:11,-1
02/01/2021 14:16,1
02/01/2021 14:21,1
02/01/2021 14:27,1
02/01/2021 14:32,1
02/01/2021 14:37,1
02/01/2021 14:42,-1
02/01/2021 14:47,-1
02/01/2021 14:52,-1
02/01/2021 14:57,1
02/01/2021 15:02,1
02/01/2021 15:07,1
02/01/2021 15:12,1
02/01/2021 15:17,1
02/01/2021 15:22,-1
02/01/2021 15:27,1
02/01/2021 15:32,1
02/01/2021 15:37,1
02/01/2021 15:42,1
02/01/2021 15:48,1
02/01/2021 15:53,1
02/01/2021 15:58,1
02/01/2021 16:03,1
02/01/2021 16:08,1
02/01/2021 16:13,1
02/01/2021 16:18,1
02/01/2021 16:23,1
02/01/2021 16:28,1
02/01/2021 16:33,1
02/01/2021 16:38,1
02/01/2021 16:43,1
02/01/2021 16:48,1
02/01/2021 16:53,1
02/01/2021 16:58,1
02/01/2021 17:04,1
02/01/2021 17:09,0
02/01/2021 17:14,1
02/01/2021 17:19,1
02/01/2021 17:24,1
02/01/2021 17:29,-1
02/01/2021 17:34,1
02/01/2021 17:39,1
02/01/2021 17:44,1
02/01/2021 17:49,1
02/01/2021 17:54,1
02/01/2021 17:59,1
02/01/2021 18:04,1
02/01/2021 18:09,1
02/01/2021 18:14,1
02/01/2021 18:19,1
02/01/2021 18:25,1
02/01/2021 18:30,-1
02/01/2021 18:35,1
02/01/2021 18:40,1
02/01/2021 18:45,1
02/01/2021 18:50,1
02/01/2021 18:55,1
02/01/2021 19:00,1
02/01/2021 19:05,1
02/01/2021 19:10,1
02/01/2021 19:15,1
02/01/2021 19:20,-1
02/01/2021 19:25,1
02/01/2021 19:30,1
02/01/2021 19:36,1
02/01/2021 19:41,1
02/01/2021 19:46,1
02/01/2021 19:51,1
02/01/2021 19:56,-1
02/01/2021 20:01,1
02/01/2021 20:06,-1
02/01/2021 20:11,1
02/01/2021 20:16,1
02/01/2021 20:21,1
02/01/2021 20:26,-1
02/01/2021 20:31,1
02/01/2021 20:37,1
02/01/2021 20:42,1
02/01/2021 20:47,1
02/01/2021 20:52,1
02/01/2021 20:57,1
02/01/2021 21:02,1
02/01/2021 21:07,1
02/01/2021 21:12,1
02/01/2021 21:17,1
02/01/2021 21:22,1
02/01/2021 21:27,1
02/01/2021 21:32,1
02/01/2021 21:38,-1
02/01/2021 21:43,1
02/01/2021 21:48,1
02/01/2021 21:53,-1
02/01/2021 21:58,1
02/01/2021 22:03,1
02/01/2021 22:08,1
02/01/2021 22:13,-1
02/01/2021 22:18,1
02/01/2021 22:23,1
02/01/2021 22:28,1
02/01/2021 22:33,1
02/01/2021 22:38,-1
02/01/2021 22:43,1
02/01/2021 22:48,1
02/01/2021 22:53,1
02/01/2021 22:59,-1
02/01/2021 23:04,1
02/01/2021 23:09,-1
02/01/2021 23:14,1
02/01/2021 23:19,1
02/01/2021 23:24,1
02/01/2021 23:29,-1
02/01/2021 23:34,-1
02/01/2021 23:39,1
02/01/2021 23:44,-1
02/01/2021 23:49,1
02/01/2021 23:54,1
02/01/2021 23:59,1
03/01/2021 00:05,1
03/01/2021 00:10,0
03/01/2021 00:15,1
03/01/2021 00:20,1
03/01/2021 00:25,1
03/01/2021 00:30,-1
03/01/2021 00:35,1
03/01/2021 00:40,1
03/01/2021 00:45,1
03/01/2021 00:50,-1
03/01/2021 00:55,1
03/01/2021 01:00,1
03/01/2021 01:05,1
03/01/2021 01:10,1
03/01/2021 01:15,-1
03/01/2021 01:20,1
03/01/2021 01:26,1
03/01/2021 01:31,1
03/01/2021 01:36,-1
03/01/2021 01:41,-1
03/01/2021 01:46,1
03/01/2021 01:51,-1
03/01/2021 01:56,1
03/01/2021 02:01,-1
03/01/2021 02:06,1
03/01/2021 02:11,1
03/01/2021 02:16,-1
03/01/2021 02:21,-1
03/01/2021 02:26,1
03/01/2021 02:31,1
03/01/2021 02:36,1
03/01/2021 02:41,-1
03/01/2021 02:46,-1
03/01/2021 02:51,1
03/01/2021 02:56,1
03/01/2021 03:01,-1
03/01/2021 03:06,-1
03/01/2021 03:11,1
03/01/2021 03:16,0
03/01/2021 03:21,-1
03/01/2021 03:27,-1
03/01/2021 03:32,1
03/01/2021 03:37,1
03/01/2021 03:42,1
03/01/2021 03:47,-1
03/01/2021 03:52,1
03/01/2021 03:57,-1
03/01/2021 04:02,-1
03/01/2021 04:07,1
03/01/2021 04:12,1
03/01/2021 04:17,1
03/01/2021 04:22,1
03/01/2021 04:27,1
03/01/2021 04:32,1
03/01/2021 04:37,-1
03/01/2021 04:42,1
03/01/2021 04:47,-1
03/01/2021 04:52,1
03/01/2021 04:57,1
03/01/2021 05:02,1
03/01/2021 05:07,-1
03/01/2021 05:12,-1
03/01/2021 05:17,-1
03/01/2021 05:22,-1
03/01/2021 05:27,-1
03/01/2021 05:32,-1
03/01/2021 05:37,-1
03/01/2021 05:43,-1
03/01/2021 05:48,-1
03/01/2021 05:53,-1
03/01/2021 05:58,-1
03/01/2021 06:03,1
03/01/2021 06:08,-1
03/01/2021 06:13,-1
03/01/2021 06:18,-1
03/01/2021 06:23,-1
03/01/2021 06:28,1
03/01/2021 06:33,-1
03/01/2021 06:38,-1
03/01/2021 06:43,-1
03/01/2021 06:48,-1
03/01/2021 06:53,0
03/01/2021 06:58,-1
03/01/2021 07:03,1
03/01/2021 07:08,-1
03/01/2021 07:13,-1
03/01/2021 07:18,-1
03/01/2021 07:28,-1
03/01/2021 07:33,-1
03/01/2021 07:38,-1
03/01/2021 07:43,0
03/01/2021 07:48,1
03/01/2021 07:53,-1
03/01/2021 07:58,-1
03/01/2021 08:03,1
03/01/2021 08:09,1
03/01/2021 08:14,-1
03/01/2021 08:19,1
03/01/2021 08:24,-1
03/01/2021 08:29,1
03/01/2021 08:34,1
03/01/2021 08:39,0
03/01/2021 08:44,0
03/01/2021 08:49,0
03/01/2021 08:54,-1
03/01/2021 08:59,-1
03/01/2021 09:04,1
03/01/2021 09:09,-1
03/01/2021 09:14,1
03/01/2021 09:19,-1
03/01/2021 09:24,1
03/01/2021 09:29,1
03/01/2021 09:34,0
03/01/2021 09:39,1
03/01/2021 09:44,1
03/01/2021 09:49,-1
03/01/2021 09:54,1
03/01/2021 09:59,-1
03/01/2021 10:04,0
03/01/2021 10:10,0
03/01/2021 10:15,-1
03/01/2021 10:20,-1
03/01/2021 10:25,1
03/01/2021 10:30,1
03/01/2021 10:35,1
03/01/2021 10:40,1
03/01/2021 10:45,1
03/01/2021 10:50,1
03/01/2021 11:00,1
03/01/2021 11:05,1
03/01/2021 11:10,1
03/01/2021 11:15,1
03/01/2021 11:20,1
03/01/2021 11:25,1
03/01/2021 11:30,-1
03/01/2021 11:35,1
